ProjectID,Project name,vessels
3,Wikinger,34
4,Gwynt y Mor,73
9,Greater Gabbard,25
11,BOWL,97
14,50Hz CWA2,3
21,Akita,16
23,St Brieuc,43
24,Seagreen,122
25,Stowen,0
27,Moray East,20
28,Dogger Bank A,39
